setID,number,name,year,theme,subtheme,pieces,minifigs,availability,packagingType,imageURL,bricksetURL
52614,11505,{?},2026,Botanicals,,,,{Not specified},{Not specified},,https://brickset.com/sets/11505-1
52247,11506,Rocking Plants,2026,Botanicals,Botanical Collection,253,,Retail,Box,https://images.brickset.com/sets/images/11506-1.jpg,https://brickset.com/sets/11506-1
52615,11507,{?},2026,Botanicals,,,,{Not specified},{Not specified},,https://brickset.com/sets/11507-1
51656,11508,Daisies,2026,Botanicals,Botanical Collection,133,,Retail,Box,https://images.brickset.com/sets/images/11508-1.jpg,https://brickset.com/sets/11508-1
51657,11509,Flowering Cactus,2026,Botanicals,Botanical Collection,482,,Retail,Box,https://images.brickset.com/sets/images/11509-1.jpg,https://brickset.com/sets/11509-1
51658,11510,Magnolia Branches,2026,Botanicals,Botanical Collection,435,,Retail,Box,https://images.brickset.com/sets/images/11510-1.jpg,https://brickset.com/sets/11510-1
52616,11511,{?},2026,Botanicals,,,,{Not specified},{Not specified},,https://brickset.com/sets/11511-1
52617,11514,{?},2026,Botanicals,,,,{Not specified},{Not specified},,https://brickset.com/sets/11514-1
52411,40916,Floral Picture Frame,2026,Botanicals,Botanical Collection,310,,LEGO exclusive,Box,https://images.brickset.com/sets/images/40916-1.jpg,https://brickset.com/sets/40916-1
52582,6614216,Micro Cactus,2026,Botanicals,Promotional,39,,Promotional,None (loose parts),https://images.brickset.com/sets/images/6614216-1.jpg,https://brickset.com/sets/6614216-1
52477,6614217,Micro Peace Lily,2026,Botanicals,Promotional,46,,{Not specified},None (loose parts),https://images.brickset.com/sets/images/6614217-1.jpg,https://brickset.com/sets/6614217-1
52469,40856,The Mandalorian and Grogu: Allies & Villains,2026,BrickHeadz,Star Wars,661,,LEGO exclusive,Box,https://images.brickset.com/sets/images/40856-1.jpg,https://brickset.com/sets/40856-1
52430,40861,"Sulley, Mike and Boo Figures",2026,BrickHeadz,Disney,303,,LEGO exclusive,Box,https://images.brickset.com/sets/images/40861-1.jpg,https://brickset.com/sets/40861-1
52437,40878,Teenage Mutant Ninja Turtles Figures,2026,BrickHeadz,Teenage Mutant Ninja Turtles,567,,LEGO exclusive,Box,https://images.brickset.com/sets/images/40878-1.jpg,https://brickset.com/sets/40878-1
51659,40879,"Eleven, Max, Demogorgon and Holly Figures",2026,BrickHeadz,Stranger Things,584,,Retail,Box,https://images.brickset.com/sets/images/40879-1.jpg,https://brickset.com/sets/40879-1
52431,40881,Supply Llama & Fishstick,2026,BrickHeadz,Fortnite,300,,LEGO exclusive,Box,https://images.brickset.com/sets/images/40881-1.jpg,https://brickset.com/sets/40881-1
51724,40910,Beef Boss & Skye,2026,BrickHeadz,Fortnite,288,,Insiders Reward,Box,https://images.brickset.com/sets/images/40910-1.jpg,https://brickset.com/sets/40910-1
51660,40922,Angel,2026,BrickHeadz,Disney,133,,LEGO exclusive,Box,https://images.brickset.com/sets/images/40922-1.jpg,https://brickset.com/sets/40922-1
52352,910059,Privateer Frigate Fortuna,2026,BrickLink,Designer Program Series 7,4087,,LEGO exclusive,Box,https://images.brickset.com/sets/images/910059-1.jpg,https://brickset.com/sets/910059-1
52353,910060,Sushi Restaurant,2026,BrickLink,Designer Program Series 7,3604,,LEGO exclusive,Box,https://images.brickset.com/sets/images/910060-1.jpg,https://brickset.com/sets/910060-1
52354,910061,Antique Collection,2026,BrickLink,Designer Program Series 7,1504,,LEGO exclusive,Box,https://images.brickset.com/sets/images/910061-1.jpg,https://brickset.com/sets/910061-1
52355,910062,Alchemist's Shop,2026,BrickLink,Designer Program Series 7,2319,,LEGO exclusive,Box,https://images.brickset.com/sets/images/910062-1.jpg,https://brickset.com/sets/910062-1
52356,910063,W.A.L.T.,2026,BrickLink,Designer Program Series 7,654,,LEGO exclusive,Box,https://images.brickset.com/sets/images/910063-1.jpg,https://brickset.com/sets/910063-1
52383,12010,City World Builder parts,2026,City,Book Parts,63,,{Not specified},Polybag,,https://brickset.com/sets/12010-1
52382,12011,City World Builder parts,2026,City,Book Parts,66,,{Not specified},Polybag,https://images.brickset.com/sets/images/12011-1.jpg,https://brickset.com/sets/12011-1
51661,30719,Go-Kart Racer,2026,City,Racing,48,1,Retail - limited,Paper bag,https://images.brickset.com/sets/images/30719-1.jpg,https://brickset.com/sets/30719-1
51662,60478,Cement Mixer,2026,City,Construction,371,3,Retail,Box,https://images.brickset.com/sets/images/60478-1.jpg,https://brickset.com/sets/60478-1
51663,60479,Police Prisoner Transport Van,2026,City,Police,198,3,Retail,Box,https://images.brickset.com/sets/images/60479-1.jpg,https://brickset.com/sets/60479-1
51952,60480,{?},2026,City,Construction,301,,Retail,Box,,https://brickset.com/sets/60480-1
51664,60481,Police Truck,2026,City,Rides,71,1,Retail,Box,https://images.brickset.com/sets/images/60481-1.jpg,https://brickset.com/sets/60481-1
51665,60482,Fire Engine,2026,City,Rides,67,1,Retail,Box,https://images.brickset.com/sets/images/60482-1.jpg,https://brickset.com/sets/60482-1
51666,60483,Loader,2026,City,Rides,61,1,Retail,Box,https://images.brickset.com/sets/images/60483-1.jpg,https://brickset.com/sets/60483-1
51667,60484,Gaming Car,2026,City,Rides,64,1,Retail,Box,https://images.brickset.com/sets/images/60484-1.jpg,https://brickset.com/sets/60484-1
51668,60485,Hot Rod,2026,City,Racing,81,1,Retail,Box,https://images.brickset.com/sets/images/60485-1.jpg,https://brickset.com/sets/60485-1
51669,60486,EV Supercar,2026,City,Traffic,109,1,Retail,Box,https://images.brickset.com/sets/images/60486-1.jpg,https://brickset.com/sets/60486-1
51670,60487,Yellow Taxi,2026,City,Traffic,122,2,Retail,Box,https://images.brickset.com/sets/images/60487-1.jpg,https://brickset.com/sets/60487-1
51671,60488,Fries Food Truck,2026,City,Traffic,216,2,Retail,Box,https://images.brickset.com/sets/images/60488-1.jpg,https://brickset.com/sets/60488-1
51672,60489,Jet vs. Car,2026,City,Racing,259,2,Retail,Box,https://images.brickset.com/sets/images/60489-1.jpg,https://brickset.com/sets/60489-1
51673,60490,Snowplough,2026,City,Traffic,263,1,Retail,Box,https://images.brickset.com/sets/images/60490-1.jpg,https://brickset.com/sets/60490-1
51674,60491,Motorcycle Transporter,2026,City,Traffic,88,2,Retail,Box,https://images.brickset.com/sets/images/60491-1.jpg,https://brickset.com/sets/60491-1
51953,60492,{?},2026,City,Airport,118,,Retail,Box,,https://brickset.com/sets/60492-1
